,text,label_sentiment
14,The room was not cleaned when we checked in. used tissues and bottle lid between the bed and night stand. I requested the room to be cleaned the next day but they just made the bed and never changed the linen. The high reviews look fake to me,0
80,"My wife and I stayed for one night - we saw it as a convenient stay for onward travel to next morning. Can't fault the location in terms of its vicinity to many attractions but but I have to say it was extremely noisy, we must have got about 2-3 hours sleep, with all the noise from the traffic outside and constant banging inside the hotel which seemed to go on all night. It was the noisiest place we have stayed in. ",0
401,"Exhausted. No soundproofing so your kept up all night by other guests, or hoovering etc. There was a leak from the roof so they had to hoover the water up which isn’t there fault but really the roof shouldn’t be leaking that badly.. and after already being kept up an hour of hoovering and calls to our room at 7am to ask to be allowed in to check water (our room was fine) was not ideal.   I was offered a discount at checkout but not told how much and just saw on my receipt it was only 10%… when we barely slept, avoid.    Other issues: wall paper peeling, plug sockets not properly attached to the wall (hazard), stains on lamp. ",0
432,"Terrible experience, services are definitively not in line with a 4 stars hotel: - check in takes too long . . . Had 4 couples before me and I had to wait 50 minutes!!!!  - two people in the room and only one Bathrobe and slippers - restaurant room service poor: we ordered a bottle of wine and the waitress broke the wine cork and cleaned the inside of the bottle with her fingers (I guess this is one of the Covid-19 measures of the hotel!!!!) - breakfast time unclear. We have been informed during the check-in that breakfast was from 7am to 10am. In the morning at 7am breakfast was not open and different people told us different starting time . . . At least they reduced the amount of the breakfast from the room rate.  I have seen many hotels in Italy but this is really the worst 4 stars hotel I have ever been.",0
470,"I have been staying in starhotel echo whenever I am in Milan for work for the past years. I choose star echo because of it services and hospitality  but recent 2 years the experience was bad but this year is the worst for me and I will not plan to stay here again for all my future business trips.   I bought an extra night stay at star echo so when I touchdown in the morning I can check in immediately for my convenience. Apparently there is this new policy that if I don’t show up the day before I am consider no-show and my room will be cancelled but I informed the hotel ahead that I will arrives in the morning but the poor staff is explaining it’s the new policy that no show = cancelled rooms no matter what. Apparently I am not the only one facing this problem, other guests seem to have this problem too. How very inconvenient and end up I have to pay extra for the whole hotel stay and get my colleague who helps me book this hotel sort out the previous hotel payment. Feels like a scam.   I would say overall the current Star Echo hotel Milan is really poorly managed by I assumed the new management with their new policies and the amenities are not available you have to request and go get it yourself. It is equivalent to like a budget hotel standard. The pillow is not as fluffy and comfortable like it used to be, you can feel the vibration from the train underground even if you stay at higher level.",0
494,"The hotel is next to the central railway station. We booked a suite for 350 euros per night and expected high service.  It was on the 3rd floor but we still could hear underground trains. The water in the shower was brown when you switched it on. Just after 5 min running it became transparent. It happened every day.  The worst part was with my money: I had a prepaid accommodation, so everything was fine until I asked to extend my booking for a few more days. I was told that I would be charged on my check out day. Here my nightmare has started: every night I saw ""pre-authorisations"" charged on my card. Hotel staff couldn't help me as their system did that automatically and they even didn't see all of the charges. By check out moment I was overcharged for 900 euros more than I had to pay. At check out I was assured that over charge would be returned in a few days cause it was just pre-authorisation and that my card was removed from the system. A few days after check out I got another charge for 1900 euros from this hotel. So total overcharged amount was 2800 euros! I called to the hotel but they didn't see these charges in their system. I had to deal with my bank and I got a refund by the end of the month, in about 3 weeks! I also need to notice that with all this pre-authorisation and refund process I lost about 100 euro just on currency exchange rate.  Worst customer experience! Scammers!",0
599,"In a ‘king superior room’ on the 12 floor with a northeast view (#1203) at a rate of mote than $700 per night, the air conditioning, despite being turned off, continues emitting a continuos high frequecy sound non stop keeping you awake all night, preventing skeep. Serious housekeeping should have identified the problem prior to making the room available. We called the front desk who proposed to sent a technician who never showed up. After a second call one hour later, a technician came by , confirmed the high frequency noise problem but could not and could not solve it. The front desk daid they could not offer another room because the hotel is said to be full.  On a side note, the music a of the bar at the 14th floor can still be heard at the 12th floor, but the nuisance is very minor in comparison to the air conditioning noise.  The room refurbishment, compared with our stay 5 years ago is a plus and nicely done, although superficially performed in the bathroom. There is no central command for managing the lights, especially for turning off the night light in the bathroom which cannot be turned off and jeeps slightly illuminating the room. Eye shades are a must.  So , still nicely situated hotel in the meat packing district, nice rooms, but technology of air conditioning and lighting ruin the experience at more than 700 dollars per night.",0
841,"We paid over 1200 dollars to stay here and I am not allowed to bring a guest over. Ridiculous. I get it if it was multiple people, but a single guest on NYE? Get out of here.one of the worst experiences I’ve had.",0
893,"Room 302 obviously had water damage . They even had a air purifier plugged in which indicates they were aware of the problem when they allocated that room. I could not sleep due to the foul smell . As well there weee hairs on the bed and filthy soap holder in the shower. I felt very unwell in the morning, my nose totally blocked and my eyes were puffy . I  found huge amounts of black mould covering what was the bar fridge door , the bar fridge was missing. My friends room 301 was NOT much better due to strong musty odour battling with cheap overpowering room deodoriser . Still waiting to hear from the manager after calling and leaving a message. Do not stay there! You pay for what you get .",0
894,"We stayed in the Vulcan Hotel three weeks ago for one night. We booked the hotel directly through the hotel's website.  Before booking the room we called the hotel that we would like to use the Stay NSW voucher and the person on the reception at the time instructed us on the phone to include a note in the booking that we would like to use the voucher and it would be deducted from the payment when we submit the booking. This didn't happen and the full amount was deducted. The receptionist at the time of arrival apologized and scanned the voucher and promised to refund the $50 voucher value, which was fine.  However, whilst $50.50 were refunded, $50.50 were simultaneously taken out of our account. When we queried this the next morning at checkout the receptionist ensured us that this will be refunded within the next two days. 3 weeks later the funds are still not refunded plus the Vulcan Hotel is still holding a $50.50 security deposit (We have confirmed that the Vulcan hotel is the merchant withholding $50.50 with our bank twice). We understand that mistakes can happen and we have emailed and called the hotel several times to resolve this amicably and the staff asks us to provide our bank statement! Whilst this is already questionable, we have sent the transactions which clearly show that $50.50 were first deducted before credited, which cancels it out. We tried to kindly explain this but the staff was rude and condescending and suggested we call our bank who can explain it to us. We did call the bank and they confirmed that Vulcan hotel is still holding the security deposit and that there was no actual refund. At this stage the Vulcan hotel has charged us the full fee and has taken an extra $50 from the NSW government. Whilst we still think that this was likely an honest mistake and hope that the hotel will resolve it, we are writing this review mainly to warn other customers to double check in case they use the Stay NSW voucher, so it doesn't happen to others. We have also made contact with Service NSW to alert them to this. Additional, we had breakfast at the hotel and witnessed how the owner shamed the chef in front of our eyes when she stated that the chef made the breakfast too big for other customers, which was very embarrassing especially as the breakfast portions were very small! We also witnessed that the owner asked the chef to reuse the butter from one table for other customers. Whilst it is certainly reasonable to reduce waste it may not be to the liking of some customers and the health department particularly during Covid times.  Other than that the rooms were fine and very clean and the location is great, and the owner gave us some helpful tips in the evening of our arrival. We have waited three weeks to write this review, because we hoped that the Vulcan hotel would have the courtesy to resolve the issue, but unfortunately they still haven't.",0
897,Horrible. I stayed here 2 weeks ago. They charged me even though I didn't use Carpark. I requested Carpark card for UTS parking but the card didn't work and I returned it. One of the worker said he will cancel the charge however it still was charged.  I called multiple times and sent an email but this issue but nothing coming back.   I called again 2 days to get refund but still no answers and treating me like a lier when I talked to rmthe reception,0
945,"I booked total of 7 days on both properties (2 days backpackers, 2 days studios and 3 days back in backpackers). On my arrival date, I was told that backpackers is fully-booked hence i will stay 1 day only in backpacker and will be UPGRADED in 4 bedroom on the 2nd day (1day upgrade). However, i was surprised to learn that I have to pay for that extra ""upgrade"" without even asking if that is ok with me.  The following day, I had to check-out and transfer to the studios. Check-out in backpacker is 10am and check-in in studios is not until 2pm. Therefore, I had to leave my valuables in the reception. When i got back, I asked for my bag and the guy manning the reception took my bag from behind and opened it WITHOUT ASKING FOR MY PERMISSION!!! He said that they need to check it to confirm that it belongs to me. I understand the safety for all customers. BUT HE OPENED MY BAG, TOOK AND LOOKED AT MY PASSPORT like as if it was not his first time opening my bag. HE SHOULD HAVE ASKED FOR MY PERMISSION FIRST! Note that my bag got several pockets and zippers but he knew where my passport is!. This is just so unacceptable! ITS TERRIBLE!!!  On my third day, I booked for a 2-day trip in meteora. I already paid 4 days of my stay, so I asked the receptionist in the studios if I can get a refund for the 1 day (32 euro) that I will not be staying in the property. Also, if refund is not possible, would they be able to not to charge me on 1 of the days that I havent paid yet. The receptionist just coldly said they can't. I was not really expecting a refund but at least a little bit of niceness would do.   Additionally, there's huge difference with the way the breakfast is served on both properties. Studio is more presentable and availability is there, while in backpacker, they seem not want to serve anything. 3 days in backpacker, I had nothing but coffee because there's nothing few slices of bread, butter and 3 hard boiled eggs.",0
960,"I spent two nights in Athens Backpackers, in a dormitory composed of six beds. When it comes to the cleanliness of the dormitory, I have no complaints. I made some new friends as well. But the biggest disappointment is that I consulted the reception on the eve of my departure and made a humble request to book a taxi for airport transfer in the following morning. The person at the reception made the booking in front of me and confirmed to me that the fee would be 23 €. Well, it was still expensive but I agreed to this price. However, in the morning, the driver was waiting for me at the reception. We walked towards the glossy black car. When I arrived at the airport, the driver told me that the transport cost was 45 €. He called the Hotel in front of me and the person on the phone confirmed that it was 45€. I said I would write about this on Trip Advisor and I was told to do so. I would not recommend this hotel, especially when such dishonest tricks are used to rob travelers out of their little money.",0
968,"Hello,  I booked his with high expectations as it was highly recommended. The receptionist welcomed us very rudely at 9.30am when we reached. We had requested on booking.com for an early check-in.  We agreed to wait for sometime as it was not reasonable to expect it immediately. Here I am writing a review at 1.20pm still waiting for the receptionist to let me know if she has any to.ready.   Hostels are known for their warm.welcome and kind gesture. I won't recommend it to any backpacker to come and experience it. ",0
1093,"Me and my friend (two female travellers) stayed there for three nights. The staff was lovely and they treated us very well, BUT on the day that we were checking out an incident happened. We wanted to pay by card (which we've been using with no problems on other places). The terminal machine wasn't working and the receptionist called the owner. When he came he treated us very impolitely and rude for NO reason, since the only thing we wanted is to pay HIS business. We tried a different card and It didn't work either. We had to go to the cash machine and pay by cash. We requested an invoice and all we got is a receipt. We asked again for a proper invoice and finally it got sorted. The owner didn't apologised or changed his attitude toward us. We felt extremely unpleasant and unwelcome. It was a real pity that we had to leave this place on that note. I would not recommend anybody to stay at this hotel for this unnecessary and disagreeable experience with the owner.",0
1449,This is the nosiest - ever - hotel I have been staying in. Not that there has been some parties or particular events but just because my room as some others are in between the reception and the street. Very difficult to sleep as you have always people getting in or away up to late in the night.,0
1602,"This hotel was one of the WORST hotels I have ever stayed in! Would never recommend it to anyone! First off, bathroom shower overfills within 2 minutes and water starts pouring out everywhere reaching the main entrance of the room. Had to switch rooms and had the same exact problem. The light fixtures were broken, asked to have it fixed, nothing was done. The hotel is literally in the boom docks, had to take 2 trains with multiple stops just to reach the city centre which would take almost an hour! Attendant when checked in was very rude and obnoxious. The quality of service is simply horrible. One star hotel with 5 star prices! 👎👎👎👎👎👎👎",0
1623,Stayed here for 4 days and wish I had gone some where else Tried to over charge me twice for the room  Bedding had stains on  Curtain hanging off  Bathroom door unlockable as it was all bent We only at here one because the food was over cooked and over priced for what was basically a microwave meal If you have a pull out bed sleep on the floor as it will be more comfortable  And if you ask not have your room cleaned don’t expect them to honor that it won’t happen  On the day of check out they will start knocking on your door at 08.30 and the roughly every 30 mins until you leave the room  And don’t also expect to be told anything at check in such as when check out it because you will have to ask for all that information yourself ,0
1634,Disgusting. Staff rude and adamant. Poor customer service and very disrespectful. Reception lady staff very rude. Lady completely hung up phone on me when I called to enquire about my booking. Breakfast bad,0
1637,"The review is in my honest own personal opinion based on a stay there some time ago, we still have not got over it. We  were invited to a low cost breakfast there the year before and the staff 'appeared' OK.  We then returned for a two night stay during London Expo weekend and the whole experience from start to finish was a horror story, you could not even dream it. This bank of hotels 'appears' to be mainly used for airport overnight stopovers or London Excel over-spill. Just be warned you are one of many here and customer service is not on their radar. The breakfast is very good, however the staff who run it are rude, confrontational and one of them is very provocative. The management here appears poor and Hilton need to look into this. The room was  disgusting at all levels and I would not know where to start on my concerns. Basically it should not have been issued out as a room. Hilton refunded me 50% of the stay, however the attitude of staff there was utterly shocking and until they remove that breakfast supervisor there it will not get any better. I am still having nightmares months later.",0
1640,"It took over an hour to check in, the 2 receptionist an Chinese guy and an Asian guy (The most terrible customer service, they were rude and clearly had no idea what they was doing, you can check the CCTV cameras) claimed the system had issues. They had to restart the computer 2 times. Failed to find the booking. They charged me pre authorization 2 times. It was such an embarrassment, clear negative customer experience and no apologies offered. This ruined my stay and being an Honors member I felt very disappointed and let down. Won’t be using this branch anymore.",0
1713,"They refused to let me check in for three days because I had not booked early.they gave me reason all rooms are booked and no room available. I was required to mail a request for booking while waiting at the lobby. Earlier I checked in websites regarding availability of rooms and the websites showing rooms were available,only then I decided to visit.Disappointing.",0
1945,We went to Asia for a 3 week honeymoon trip. Japan was our last leg of it. We took a 1am flight to japan and arrived around 11am. They told us check in was at 2pm. Ok so we left to go have lunch. Came back around 1240pm Bc it started pouring rain outside and they still said check in is at 2pm. We have stayed over five hotels during this trip and all of them allowed us to check in a bit earlier. I haven’t slept and i am soaked from the rain.  I’m exhausted so I tried to rest in their lobby and the front desk made us move bc we were inconveniencing them. I wouldn’t recommend this hotel. Customer service is lacking compared to what i am use to. Can’t even check in to change clothes/shower. I am writing this as I wait in their lobby. 👎🏻,0
2392,"Hotel was small but enough for quick stay and located very close to Acropolis. However they charged twice for a single booking. Had to call them twice to cancel the second booking. When we arrived on day of, the receptionist told me that there were two bookings existing. One for two beds and the other for one bed. Booking was a big inconvenience.",0
2572,"1) Hardware: good 2) Customer service: terrible a) hotel room don't have cold air-con and room tempature kept at 26-27 degree all night.  However, lobby, corrider and restaurant had cold air con switched on and working !!!! b) email customer service and response is ""your feedback will help us identify the opportunities where we can focus on making improvements. Thank you for taking the time to share your experience with us"" c) complaining at lobby, air-con fixed one night for a few hours. next morning tempeature is 26 again",0
2579,"No seriously. the hairdryer was the only source of heating!   It was winter, but it was so cold... really cold... we needed an extra duvet. But it was damp too, so cold and damp isn’t a good combination. We asked about the air con unit, but no it only cooled, no reverse cycle for heating.  Samuel was helpful, but these things left him helpless. So we ended up seeking refuge at the cinema and YMCA to keep warm.  The rooms are small, with an integral shower and toilet, but it’s not sealed from the main room, so moisture can easily escape.  It was centrally located, and that’s the main thing in its favour.  We wouldn’t go back, we’d rather pay another 10$ or even double to get somewhere that we could at least go back to after a days exploring and relax in front of the TV.",0
2977,"I reserved for 5 days stay and confirmed my reservation with the hotel staff , when i have arrived at 2 am the staff told me that the reservation not confirmed and there's no room available leaving me at 2 am to look for another hotel  And in the reception we heard a loud cry of a child so how was the rooms ?!!  It was horrible experience ..",0
2978,"My experience with them began at a sour note. I was mis quoted a higher per night charge by their staff over whatsapp. Upon arrival I found out the actual charges which was lesser than what was quoted earlier. However the staff was extremely rude and told me to either pay the higher price or to leave the hotel at 4AM. Their staff continued to be extremely uncooperative throughout my 10 day stay there.  Despite booking for my 10 day stay in advance they kept changing my room frequently. The condition of the rooms was deplorable. Matters covers had various stains and odour. Room service was non existent. Rooms lacked hygiene or proper maintenance.  It's an extremely old and outdated construction with very very small rooms, no lift and the staff was beyond horrible. Rooms did not offer mini bar. Or fridge. The towels offered were dirty. The intercom system was broken. The break fast served was mediocre at best.   All in all a terrible experience wouldn't recommend to anyone.",0
2991,Location is in the middle of no where and dont have the elevator with not standard stairs and 4 floor. At the arrival moment they sent us to the top floor and every where of thr hotel was smeling the paint. Tottaly dont waste your money on this hotel,0
